tenure_months,contract_type,monthly_charges,online_security,tech_support,payment_method,paperless_billing,senior_citizen,age,gender,internet_service,online_backup,device_protection,streaming_tv,streaming_movies,total_charges,support_tickets,complaint_count,usage_hours_per_month,email_opens_rate,nps_score,days_since_last_interaction,churn,satisfaction,customer_lifetime_value
7,Month-to-month,63.09507882359643,0,0,Mailed check,1,0,53,Female,No,0,0,1,1,441.665551765175,1,1,23.122538050644053,43.99637095343974,18,11,0,2,1256.2228368203741
5,Month-to-month,52.06148345458584,0,0,Mailed check,1,0,24,Female,No,0,0,0,1,260.30741727292923,2,1,281.11073448826465,55.746502414394335,-1,12,0,2,896.4220967959991
7,One year,60.30075012397216,0,1,Mailed check,1,0,60,Male,No,1,0,0,0,422.1052508678051,4,0,82.10878783456295,63.10562449418916,77,21,1,2,2135.4591565944825
41,Two year,80.68957526857328,1,1,Bank transfer,1,0,62,Female,No,1,0,0,0,3308.2725860115042,4,0,163.06323225303638,67.41588131621613,31,22,0,2,2525.435176710966
52,Two year,81.95354626880234,1,1,Credit card,1,1,74,Female,No,0,0,1,0,4261.584405977722,0,0,32.11261304648092,67.02272219993313,35,13,0,2,3725.264226169995
44,Two year,74.97187068559171,1,1,Bank transfer,1,0,45,Male,Fiber optic,0,0,1,1,3298.762310166035,4,1,5.523779070146748,45.93773068867627,51,40,0,1,3665.2400828806003
52,Two year,88.11773763914707,1,1,Credit card,1,1,65,Female,No,0,1,0,1,4582.1223572356475,0,1,40.71430479975516,63.882111134863386,1,21,0,1,3494.2657318824163
10,Month-to-month,42.754361121069905,0,0,Electronic check,1,0,56,Male,Fiber optic,0,0,0,0,427.54361121069905,2,0,12.819268177807674,51.880092345703474,61,6,0,2,2253.489217467836
3,Month-to-month,56.71102049656237,1,1,Electronic check,1,1,69,Female,Fiber optic,1,1,0,0,170.13306148968712,1,0,22.11285733515364,76.96860954820286,26,2,0,2,1477.9848664465867
7,Month-to-month,43.42500380987477,1,0,Mailed check,1,0,37,Female,Fiber optic,0,1,0,0,303.9750266691234,4,0,2.8491411804344544,47.25612319630722,45,26,1,2,1676.2257694929729
10,Month-to-month,50.37026358056744,1,0,Mailed check,0,0,62,Male,No,1,0,1,0,503.7026358056744,5,0,45.613394158891,44.043520760266176,2,50,0,2,977.1994722560341
37,Two year,66.1193520331425,1,1,Bank transfer,1,0,52,Male,Fiber optic,0,0,0,1,2446.4160252262727,0,0,31.94152471578149,67.30376015840899,69,1,0,2,2898.4536079225295
53,Two year,63.288282548471265,1,1,Bank transfer,1,0,19,Female,Fiber optic,0,0,0,1,3354.278975068977,3,0,46.74629655913769,64.34172793021216,37,1,0,2,3126.8430130137767
49,Two year,75.1610850487639,1,1,Bank transfer,1,0,57,Female,DSL,0,0,1,0,3682.893167389431,2,0,7.8396682956310055,40.66356686563286,52,3,0,2,3415.612670948593
20,Month-to-month,103.44758208803125,0,0,Electronic check,1,0,55,Female,Fiber optic,0,0,1,0,2068.951641760625,13,3,0.10229569234880573,17.07044610587117,-27,13,1,1,2218.4235159110904
18,Month-to-month,82.6418101537395,0,0,Electronic check,1,0,27,Male,DSL,1,0,1,0,1487.552582767311,11,1,28.88489565376343,9.550843747356334,-38,33,1,1,1265.4895116537662
71,Two year,65.43156188255749,1,1,Bank transfer,1,1,68,Female,Fiber optic,0,0,0,0,4645.640893661582,3,0,56.39558904972094,62.322580785824925,7,12,0,2,3513.444255509069
12,Month-to-month,102.83970023150158,0,0,Electronic check,1,0,54,Female,Fiber optic,0,0,1,0,1234.076402778019,5,3,11.033678543723436,21.587397200214216,-27,127,1,0,3337.4300030115164
9,One year,36.912278281702854,1,0,Electronic check,1,0,52,Female,DSL,1,0,0,0,332.2105045353257,0,0,67.78317923016618,61.34104679302208,11,1,1,2,1859.794766655532
52,Two year,74.81587945101226,1,1,Bank transfer,1,0,64,Female,Fiber optic,1,0,0,0,3890.4257314526376,1,1,12.083847056878518,43.09436007851402,100,16,0,2,4583.222454963619
64,Two year,87.05705449353569,1,1,Credit card,1,0,57,Female,DSL,0,0,0,1,5571.651487586284,4,1,7.497653874018814,64.98297442031513,35,0,0,2,3748.871038850384
10,Month-to-month,105.81655136283476,0,0,Electronic check,1,0,59,Female,No,1,0,1,0,1058.1655136283475,6,2,9.85902206859588,14.75563284236047,16,46,1,1,2796.514432314686
60,Two year,91.29553317840349,1,1,Credit card,1,0,47,Male,Fiber optic,1,1,1,0,5477.731990704209,1,0,25.94978576313241,43.53946056037617,21,2,0,2,3363.552948318851
48,Two year,85.24682583826825,1,1,Bank transfer,1,0,26,Female,DSL,0,0,0,0,4091.847640236876,3,1,10.86986398896126,78.41829655596825,-2,62,0,1,3325.292677122269
14,One year,53.368538162827484,1,1,Credit card,1,0,34,Female,DSL,1,0,0,1,747.1595342795848,6,0,12.773261110387793,67.18892993810098,-7,15,0,2,1281.2717991691545
63,Two year,66.54735205861206,1,1,Bank transfer,1,0,46,Female,DSL,1,0,1,1,4192.48317969256,2,0,42.01236273382845,73.3499178709499,-8,0,0,2,3009.8222916022305
18,One year,71.82574473297254,1,1,Credit card,0,0,47,Female,DSL,1,0,0,1,1292.8634051935057,2,0,103.5973012460579,65.32109573493202,17,18,0,2,1039.2605761449472
61,Two year,92.7494001629708,1,1,Credit card,1,1,67,Male,No,0,1,0,1,5657.713409941219,1,0,18.742753929131986,60.39701400686711,60,0,0,2,4345.677119649617
19,One year,57.38047982394846,0,0,Bank transfer,0,1,77,Female,Fiber optic,1,1,0,0,1090.2291166550208,1,0,10.145572883154163,45.408029785795286,57,21,0,2,2297.9069481917345
42,Two year,65.00934281731308,1,1,Bank transfer,1,0,58,Female,Fiber optic,0,0,0,0,2730.3923983271493,3,0,36.96371081628171,73.22002180188146,18,3,0,2,2364.021843753918
7,Month-to-month,43.862920817459305,0,0,Mailed check,1,0,44,Male,Fiber optic,1,0,0,1,307.0404457222151,2,0,7.5960157674442295,48.53839992435536,53,1,0,2,1476.9626200299729
38,Two year,76.191937163408,1,1,Bank transfer,1,0,57,Female,No,0,0,1,1,2895.293612209504,1,0,3.460565988930324,63.83729723029181,-6,85,0,1,2611.0848113976317
31,One year,62.02764746894968,0,0,Mailed check,0,0,46,Female,Fiber optic,1,1,0,1,1922.85707153744,1,1,101.94584303129707,40.43102835664901,30,21,0,2,2317.6102831626213
12,Two year,88.89314841241574,0,0,Mailed check,1,0,53,Female,DSL,0,0,0,0,1066.717780948989,2,2,23.756854135505726,56.40932123513018,-36,14,1,1,1732.5732104642661
7,Month-to-month,46.84238507235764,0,0,Mailed check,0,0,33,Female,Fiber optic,0,0,1,1,327.8966955065035,2,1,67.57947731850626,63.737430080189355,83,43,0,2,2224.2909088879123
5,One year,30.533506350308137,0,0,Electronic check,1,0,30,Female,Fiber optic,1,1,0,0,152.66753175154068,2,0,8.374389417353749,43.97216976140583,12,17,1,2,1087.9879007827262
18,Month-to-month,74.18317050255916,0,0,Electronic check,1,0,19,Male,DSL,1,0,0,0,1335.297069046065,11,4,54.76844451076037,12.461907915450064,-47,98,1,1,1728.543126421339
15,Two year,86.44678338060085,1,0,Bank transfer,0,0,64,Male,Fiber optic,0,1,0,0,1296.7017507090127,4,0,42.40671810238853,74.78194225554506,9,10,0,2,1273.8030774886156
15,One year,59.073883820042255,1,0,Bank transfer,0,0,44,Male,DSL,1,0,0,1,886.1082573006338,1,2,109.09428396514397,52.13328274260849,92,12,0,2,2500.537919381564
2,Month-to-month,60.28496202299378,0,0,Mailed check,1,0,32,Female,Fiber optic,1,1,0,1,120.56992404598756,2,0,1.749974116790674,60.76135877476169,44,26,0,2,1088.8400726655448
18,Month-to-month,117.07128359089398,0,0,Electronic check,1,0,49,Male,Fiber optic,0,0,1,0,2107.2831046360916,8,8,149.00422194599315,24.21803339349968,-16,1,1,1,2244.619716293653
21,One year,78.40416378371324,1,1,Bank transfer,1,0,59,Male,DSL,1,1,1,0,1646.487439457978,2,1,105.65823466862433,46.092264328903035,-3,18,0,2,1761.578787805079
44,Two year,76.52124698590788,1,1,Bank transfer,1,0,52,Female,No,1,0,0,1,3366.934867379947,2,0,14.541010260521054,70.50605509872449,49,34,0,2,2777.260987766406
61,Two year,77.85474586050341,1,1,Credit card,1,0,43,Female,No,0,0,1,1,4749.139497490708,2,2,17.84690005411509,54.68407364624473,96,4,0,2,4781.048414827081
65,Two year,74.41511279721391,1,1,Bank transfer,1,0,48,Female,Fiber optic,0,1,0,0,4836.982331818904,0,0,23.045765559677463,55.14047863133077,99,31,0,2,4638.898099994009
34,Two year,88.47887479096283,0,1,Bank transfer,1,0,62,Male,DSL,1,0,0,0,3008.2817428927365,5,0,28.864748728771925,64.20491684346933,-5,10,0,2,1934.3906165721658
12,Two year,51.46912755623662,1,1,Bank transfer,1,0,44,Male,Fiber optic,0,1,0,1,617.6295306748394,4,1,141.15805014679702,47.47056315804525,29,3,0,2,1661.196576864168
12,One year,74.15581200579089,1,0,Mailed check,1,0,63,Male,DSL,0,0,0,1,889.8697440694907,3,0,117.42395830542611,70.6992086677845,-6,40,0,2,1738.3420654309243
8,Month-to-month,101.14146184805898,0,0,Electronic check,1,0,52,Male,No,0,1,0,0,809.1316947844718,8,2,26.659782056137175,6.706918326059304,-52,53,1,1,1762.8878430471577
9,One year,59.486451803823286,1,0,Electronic check,1,0,34,Male,DSL,0,0,1,0,535.3780662344095,0,1,84.28905556690636,65.68365764648634,38,2,0,2,1690.7828641674282
21,Two year,59.5510003327824,0,0,Credit card,0,1,78,Male,DSL,1,0,1,1,1250.5710069884303,4,3,149.64553026878684,60.25415583696805,100,12,1,2,3301.1731404187594
20,One year,71.46483611419833,0,0,Bank transfer,1,1,79,Male,Fiber optic,0,0,0,0,1429.2967222839666,0,0,48.932620161501475,76.68093569408117,56,0,0,2,2523.9979156678714
10,Month-to-month,56.00801115121978,0,1,Mailed check,1,0,52,Female,No,0,0,1,0,560.0801115121978,1,0,81.19387203796627,77.76376701281885,8,10,0,2,1853.5258029981867
8,Month-to-month,75.00716438691755,0,0,Electronic check,1,1,74,Female,Fiber optic,0,0,0,1,600.0573150953404,5,1,30.13740228441218,7.261236530802521,-4,51,1,1,2082.8942104715893
